"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"200","0","0","0","1098","45286560","194","11345280","16","46560"
"200","0","0","1","820","45286560","190","11345280","11","46560"
"200","0","0","2","812","45286560","180","11345280","8","46560"
"200","0","0","3","828","45286560","182","11345280","8","46560"
"200","0","0","4","810","45286560","177","11345280","11","46560"
"200","0","0","5","807","45286560","177","11345280","7","46560"
"200","0","0","6","811","45286560","173","11345280","8","46560"
"200","0","0","7","854","45286560","181","11345280","7","46560"
"200","0","0","8","849","45286560","179","11345280","7","46560"
"200","0","0","9","833","45286560","196","11345280","8","46560"
"200","0","0","10","829","45286560","170","11345280","7","46560"
"200","0","0","11","830","45286560","177","11345280","7","46560"
"200","0","0","12","829","45286560","174","11345280","8","46560"
"200","0","0","13","843","45286560","174","11345280","7","46560"
"200","0","0","14","823","45286560","173","11345280","6","46560"
"200","0","0","15","810","45286560","176","11345280","6","46560"
"180","0","0","0","767","40757904","164","10210752","6","41904"
"180","0","0","1","773","40757904","171","10210752","5","41904"
"180","0","0","2","764","40757904","166","10210752","5","41904"
"180","0","0","3","763","40757904","164","10210752","5","41904"
"180","0","0","4","760","40757904","160","10210752","6","41904"
"180","0","0","5","763","40757904","167","10210752","6","41904"
"180","0","0","6","906","40757904","210","10210752","6","41904"
"180","0","0","7","786","40757904","162","10210752","8","41904"
"180","0","0","8","756","40757904","162","10210752","6","41904"
"180","0","0","9","757","40757904","163","10210752","5","41904"
"180","0","0","10","760","40757904","164","10210752","5","41904"
"180","0","0","11","757","40757904","162","10210752","6","41904"
"180","0","0","12","761","40757904","163","10210752","5","41904"
"180","0","0","13","755","40757904","163","10210752","5","41904"
"180","0","0","14","760","40757904","164","10210752","6","41904"
"180","0","0","15","757","40757904","162","10210752","6","41904"
"160","0","0","0","647","36229248","140","9076224","5","37248"
"160","0","0","1","653","36229248","137","9076224","5","37248"
"160","0","0","2","650","36229248","140","9076224","5","37248"
"160","0","0","3","681","36229248","138","9076224","5","37248"
"160","0","0","4","660","36229248","139","9076224","5","37248"
"160","0","0","5","656","36229248","137","9076224","5","37248"
"160","0","0","6","642","36229248","139","9076224","5","37248"
"160","0","0","7","646","36229248","139","9076224","4","37248"
"160","0","0","8","658","36229248","139","9076224","5","37248"
"160","0","0","9","646","36229248","137","9076224","5","37248"
"160","0","0","10","646","36229248","140","9076224","5","37248"
"160","0","0","11","659","36229248","148","9076224","5","37248"
"160","0","0","12","733","36229248","139","9076224","6","37248"
"160","0","0","13","646","36229248","139","9076224","6","37248"
"160","0","0","14","646","36229248","139","9076224","5","37248"
"160","0","0","15","644","36229248","138","9076224","5","37248"
"140","0","0","0","572","31700592","121","7941696","5","32592"
"140","0","0","1","571","31700592","123","7941696","4","32592"
"140","0","0","2","569","31700592","122","7941696","5","32592"
"140","0","0","3","572","31700592","124","7941696","4","32592"
"140","0","0","4","572","31700592","121","7941696","4","32592"
"140","0","0","5","569","31700592","121","7941696","5","32592"
"140","0","0","6","568","31700592","122","7941696","4","32592"
"140","0","0","7","567","31700592","122","7941696","4","32592"
"140","0","0","8","569","31700592","121","7941696","4","32592"
"140","0","0","9","569","31700592","125","7941696","4","32592"
"140","0","0","10","569","31700592","124","7941696","4","32592"
"140","0","0","11","570","31700592","122","7941696","4","32592"
"140","0","0","12","581","31700592","121","7941696","4","32592"
"140","0","0","13","566","31700592","122","7941696","4","32592"
"140","0","0","14","567","31700592","121","7941696","4","32592"
"140","0","0","15","567","31700592","124","7941696","4","32592"
"120","0","0","0","487","27171936","103","6807168","4","27936"
"120","0","0","1","482","27171936","103","6807168","4","27936"
"120","0","0","2","482","27171936","104","6807168","3","27936"
"120","0","0","3","484","27171936","104","6807168","3","27936"
"120","0","0","4","483","27171936","104","6807168","4","27936"
"120","0","0","5","486","27171936","104","6807168","3","27936"
"120","0","0","6","486","27171936","103","6807168","3","27936"
"120","0","0","7","485","27171936","103","6807168","4","27936"
"120","0","0","8","485","27171936","102","6807168","4","27936"
"120","0","0","9","482","27171936","102","6807168","4","27936"
"120","0","0","10","482","27171936","103","6807168","3","27936"
"120","0","0","11","480","27171936","103","6807168","5","27936"
"120","0","0","12","480","27171936","102","6807168","4","27936"
"120","0","0","13","484","27171936","104","6807168","3","27936"
"120","0","0","14","483","27171936","102","6807168","4","27936"
"120","0","0","15","487","27171936","102","6807168","4","27936"
"100","0","0","0","433","22643280","93","5672640","4","23280"
"100","0","0","1","431","22643280","92","5672640","3","23280"
"100","0","0","2","436","22643280","92","5672640","3","23280"
"100","0","0","3","434","22643280","92","5672640","3","23280"
"100","0","0","4","433","22643280","92","5672640","5","23280"
"100","0","0","5","435","22643280","94","5672640","3","23280"
"100","0","0","6","438","22643280","94","5672640","3","23280"
"100","0","0","7","433","22643280","94","5672640","3","23280"
"100","0","0","8","431","22643280","95","5672640","3","23280"
"100","0","0","9","433","22643280","95","5672640","3","23280"
"100","0","0","10","429","22643280","93","5672640","3","23280"
"100","0","0","11","432","22643280","92","5672640","3","23280"
"100","0","0","12","436","22643280","93","5672640","3","23280"
"100","0","0","13","436","22643280","92","5672640","3","23280"
"100","0","0","14","430","22643280","94","5672640","4","23280"
"100","0","0","15","430","22643280","94","5672640","3","23280"
"80","0","0","0","307","18114624","66","4538112","2","18624"
"80","0","0","1","304","18114624","65","4538112","2","18624"
"80","0","0","2","304","18114624","65","4538112","2","18624"
"80","0","0","3","307","18114624","65","4538112","2","18624"
"80","0","0","4","308","18114624","63","4538112","2","18624"
"80","0","0","5","307","18114624","65","4538112","3","18624"
"80","0","0","6","310","18114624","64","4538112","3","18624"
"80","0","0","7","305","18114624","64","4538112","3","18624"
"80","0","0","8","307","18114624","65","4538112","3","18624"
"80","0","0","9","305","18114624","64","4538112","2","18624"
"80","0","0","10","309","18114624","64","4538112","2","18624"
"80","0","0","11","306","18114624","64","4538112","3","18624"
"80","0","0","12","307","18114624","65","4538112","3","18624"
"80","0","0","13","304","18114624","64","4538112","3","18624"
"80","0","0","14","305","18114624","65","4538112","3","18624"
"80","0","0","15","305","18114624","66","4538112","2","18624"
"60","0","0","0","234","13585968","50","3403584","2","13968"
"60","0","0","1","235","13585968","52","3403584","2","13968"
"60","0","0","2","234","13585968","53","3403584","2","13968"
"60","0","0","3","238","13585968","49","3403584","2","13968"
"60","0","0","4","238","13585968","50","3403584","2","13968"
"60","0","0","5","239","13585968","51","3403584","2","13968"
"60","0","0","6","237","13585968","52","3403584","2","13968"
"60","0","0","7","236","13585968","51","3403584","2","13968"
"60","0","0","8","240","13585968","50","3403584","3","13968"
"60","0","0","9","236","13585968","51","3403584","2","13968"
"60","0","0","10","241","13585968","51","3403584","2","13968"
"60","0","0","11","237","13585968","52","3403584","2","13968"
"60","0","0","12","237","13585968","53","3403584","2","13968"
"60","0","0","13","237","13585968","51","3403584","2","13968"
"60","0","0","14","237","13585968","50","3403584","2","13968"
"60","0","0","15","238","13585968","50","3403584","2","13968"
"40","0","0","0","165","9057312","36","2269056","2","9312"
"40","0","0","1","165","9057312","37","2269056","1","9312"
"40","0","0","2","165","9057312","35","2269056","1","9312"
"40","0","0","3","164","9057312","36","2269056","1","9312"
"40","0","0","4","166","9057312","35","2269056","1","9312"
"40","0","0","5","168","9057312","35","2269056","1","9312"
"40","0","0","6","163","9057312","35","2269056","1","9312"
"40","0","0","7","165","9057312","34","2269056","2","9312"
"40","0","0","8","166","9057312","35","2269056","1","9312"
"40","0","0","9","162","9057312","36","2269056","2","9312"
"40","0","0","10","163","9057312","36","2269056","1","9312"
"40","0","0","11","164","9057312","36","2269056","1","9312"
"40","0","0","12","165","9057312","36","2269056","1","9312"
"40","0","0","13","164","9057312","34","2269056","2","9312"
"40","0","0","14","166","9057312","35","2269056","1","9312"
"40","0","0","15","164","9057312","37","2269056","1","9312"
"20","0","0","0","64","4528656","13","1134528","1","4656"
"20","0","0","1","65","4528656","13","1134528","1","4656"
"20","0","0","2","63","4528656","15","1134528","1","4656"
"20","0","0","3","65","4528656","13","1134528","1","4656"
"20","0","0","4","64","4528656","13","1134528","1","4656"
"20","0","0","5","64","4528656","15","1134528","0","4656"
"20","0","0","6","64","4528656","13","1134528","1","4656"
"20","0","0","7","65","4528656","13","1134528","1","4656"
"20","0","0","8","64","4528656","14","1134528","0","4656"
"20","0","0","9","67","4528656","13","1134528","1","4656"
"20","0","0","10","67","4528656","13","1134528","0","4656"
"20","0","0","11","66","4528656","14","1134528","1","4656"
"20","0","0","12","66","4528656","13","1134528","1","4656"
"20","0","0","13","65","4528656","13","1134528","1","4656"
"20","0","0","14","66","4528656","13","1134528","1","4656"
"20","0","0","15","66","4528656","13","1134528","1","4656"
